code,official_name,category,default_unit,allowed_units,synonyms,active
PRO-012,Lomo de Cerdo,Proteínas,kg,kg,"Lomos de Cerdo,lomo cerdo",true
PRO-009,"Mariscada Española 2,5 Kg ( Paq 500 Grs )",Proteínas,paquete,"paquete,g","Mariscada Española,Mariscadas Española,mariscada",true
PRO-013,Muslo Entero,Proteínas,kg,kg,"Muslos Entero,muslo de pollo,muslos enteros",true
PRO-006,Picadura de Corvina para Ceviche,Proteínas,kg,kg,"Picaduras de Corvina para Ceviche,corvina para ceviche,picadura de corvina",true
PRO-016,Posta de Cerdo,Proteínas,kg,kg,"Postas de Cerdo,posta cerdo",true
PRO-015,Quititena,Proteínas,kg,kg,Quititenas,true
PRO-019,Rib Eye Lipon Excel Choice ( 1 Pieza ),Proteínas,kg,kg,"Rib Eye Lipon Excel Choice,Ribes Eye Lipon Excel Choice",true
PRO-021,Salmón Ahumado,Proteínas,kg,kg,Salmones Ahumado,true
PRO-007,Salmón Salar,Proteínas,kg,kg,"Salmones Salar,salmón",true
PRO-008,Torta Angus,Proteínas,und,und,"Tortas Angus,torta de res angus",true
PRO-020,Tortas P/ Hamburguesa Vegetarianas,Proteínas,und,und,,true
REF-042,Aros de Cebolla Empanicados,Refrigerados y congelados,caja,caja,,true
REF-011,Bocadillo de strudel de manzana,Refrigerados y congelados,und,und,Bocadillos de strudel de manzana,true
REF-008,"Brownies Otis 2,0",Refrigerados y congelados,und,und,,true
REF-012,Cheesecake Fresa,Refrigerados y congelados,und,und,Cheesecakes Fresa,true
REF-009,"Cheesecake Mora 10"" 12porc. 1.5kg",Refrigerados y congelados,und,und,"Cheesecake Mora 10"",Cheesecakes Mora 10""",true
REF-038,Chorizo Nobleza ( Cular ) 100 Grs Pen,Refrigerados y congelados,paquete,"paquete,g","Chorizo Nobleza,Chorizos Nobleza",true
REF-041,Chorizo Precocido 600 Grs,Refrigerados y congelados,paquete,"paquete,g","Chorizo Precocido,Chorizos Precocido",true
REF-029,Croissant ( Sándwich ) Grande 45 Grs,Refrigerados y congelados,und,und,"CROISSANT ( SADWICH ) Grande 45 grs,Croissant Grande,Croissantes Grande",true
REF-031,Croqueta Yuca Precoc Large 6/1.5kg,Refrigerados y congelados,caja,caja,"Croqueta Yuca Precoc Large 6/,Croquetas Yuca Precoc Large 6/",true
REF-022,Edamames,Refrigerados y congelados,paquete,paquete,,true
REF-019,Enyucado Carne,Refrigerados y congelados,paquete,"paquete,kg",Enyucados Carne,true
REF-032,Galleta chispas de chocolate C1/100,Refrigerados y congelados,caja,caja,"Galletas chispas de chocolate C1/100,galletas con chispas,galleta de chocolate,galletas choco chips,330741 GALLETA CHISPAS DE CHOCOLATE C1/100",true
REF-024,Galleta Choco Chips Otis Caja 72 Unid,Refrigerados y congelados,caja,"caja,und","Galleta Choco Chips Otis,Galletas Choco Chips Otis",true
REF-033,Galleta de Vainilla,Refrigerados y congelados,caja,caja,Galletas de Vainilla,true
REF-020,Hash-brown Ovalado,Refrigerados y congelados,caja,caja,Hash-brownes Ovalado,true
REF-013,Helado Vainilla,Refrigerados y congelados,cubeta,cubeta,Helados Vainilla,true
REF-045,Jalapeños Poppers,Refrigerados y congelados,paquete,paquete,,true
REF-004,Jamón Cocido Slq Grnr 1/500 Gr,Refrigerados y congelados,und,und,"Jamón Cocido Slq Grnr 1/,Jamones Cocido Slq Grnr 1/",true
REF-017,Jamón de Pavo Light,Refrigerados y congelados,paquete,"paquete,g",Jamones de Pavo Light,true
REF-034,Jamón Serrano Paq 500 Grs,Refrigerados y congelados,paquete,"paquete,g","Jamón Serrano,Jamones Serrano",true
REF-035,Margarina en Bloques,Refrigerados y congelados,caja,caja,Margarinas en Bloques,true
REF-030,Mini croissant,Refrigerados y congelados,und,"und,caja","MINI CROISSANT Pequeños,Minis croissant",true
REF-043,Mozzarella Sticks Palitos 1.8,Refrigerados y congelados,paquete,paquete,Mozzarellas Sticks Palitos 1.8,true
REF-014,Natilla,Refrigerados y congelados,galón,galón,Natillas,true
REF-006,Papa Everycrisp Covertura,Refrigerados y congelados,caja,"caja,kg",Papas Everycrisp Covertura,true
REF-010,Pastel Chocolate 1/1.6 Kg,Refrigerados y congelados,und,und,"Pastel Chocolate 1/,Pasteles Chocolate 1/",true
REF-002,Pastel Oreo,Refrigerados y congelados,und,und,Pasteles Oreo,true
REF-036,Pepperoni Rebanado,Refrigerados y congelados,paquete,"paquete,kg",Pepperonis Rebanado,true
REF-016,Queso Azul,Refrigerados y congelados,und,und,Quesos Azul,true
REF-025,Queso Cheese Merchants Parmesan,Refrigerados y congelados,paquete,"paquete,kg",Quesos Cheese Merchants Parmesan,true
REF-015,Queso Crema Gl,Refrigerados y congelados,galón,galón,Quesos Crema Gl,true
REF-039,Queso Feta,Refrigerados y congelados,und,und,Quesos Feta,true
REF-027,Queso Gouda Block de 2 Kg,Refrigerados y congelados,bloque,"bloque,kg","Queso Gouda Block de,Quesos Gouda Block de",true
REF-003,Queso Mozzarella Rallado Foodie Pizza,Refrigerados y congelados,paquete,paquete,"QUESO MOZARELLA RALLADO FOODIE PIZZA,Quesos Mozzarella Rallado Foodie Pizza",true
REF-044,Queso mozzarella rebanado,Refrigerados y congelados,paquete,"paquete,g,envase","Queso Mozarella rebanado,Quesos mozzarella rebanado,mozzarella rebanada,Queso Mozzrella Rebanado",true
REF-023,"Queso Parmesano Molido (1 Kg) 2,0",Refrigerados y congelados,paquete,"paquete,g","Queso Parmesano Molido 2,0,Quesos Parmesano Molido 2,0",true
REF-028,Queso Provolone,Refrigerados y congelados,kg,kg,"QUESO PROVOLONNE,Quesos Provolone",true
REF-026,"Queso Rebanado Prado Monte Rico , 2.3 Kg Rebanado",Refrigerados y congelados,bloque,"bloque,kg","Queso Rebanado Prado Monte Rico ,,Quesos Rebanado Prado Monte Rico ,",true
REF-047,Queso Turrialba 3 Kg,Refrigerados y congelados,paquete,"paquete,kg","Queso Turrialba,Quesos Turrialba",true
REF-037,Salami Kg,Refrigerados y congelados,paquete,"paquete,kg","Salami,Salamis",true
REF-005,Salchicha Desayuno Kg,Refrigerados y congelados,kg,kg,"Salchicha Desayuno,Salchichas Desayuno",true
REF-021,Salchichon,Refrigerados y congelados,kg,kg,Salchichones,true
REF-040,Surimi,Refrigerados y congelados,paquete,paquete,"SURIME,Surimis",true
REF-018,Tacos Hir Pequeños 20 Und (80027),Refrigerados y congelados,und,und,Tacos Hir Pequeños,true
REF-046,Tartaletas,Refrigerados y congelados,und,und,TARTALETAS MEDIANAS,true
REF-007,Tocineta Americana Caja 6.81kg,Refrigerados y congelados,caja,"caja,kg","Tocineta Americana,Tocinetas Americana",true
REF-001,Tortilla de Trigo Gigante 33 Cm (malinche) Pq 1/10 Ud,Refrigerados y congelados,paquete,paquete,"Tortilla de Trigo Gigante,Tortillas de Trigo Gigante,tortilla malinche,tortilla de 33 centímetros",true
VEG-002,Cebolla,Vegetales,kg,"kg,und,bolsa",cebollas,true
VEG-003,Lechuga,Vegetales,und,"und,kg,caja",lechugas,true
VEG-001,Tomate,Vegetales,caja,"caja,kg,und","tomates,tomate maduro",true
